time,close,high,low,open,volume,ticker
2023-07-17,47129.3984375,48291.89130748972,47129.3984375,47952.83088707605,3285300,MWG
2023-07-19,46984.0859375,47420.020755476806,46451.27671552835,46887.21153350516,4356900,MWG
2023-07-20,47565.3359375,47952.83358261202,46887.21505855397,46887.21505855397,5743009,MWG
2023-07-21,50859.06640625,50859.06640625,47420.02477306548,47565.33639136905,13787110,MWG
2023-07-24,52796.5546875,52796.5546875,50374.69438073395,51343.43850344037,4896428,MWG
2023-07-26,50955.94140625,52505.93201936787,50374.6949263308,51924.68553944867,6850222,MWG
2023-07-28,53303.23828125,53694.4547090023,52031.784891055046,52716.41363962156,4071718,MWG
2023-08-03,51542.76171875,52520.80273808112,50271.30839361955,50662.52480135199,8773538,MWG
2023-08-04,51836.17578125,52031.78399174528,51151.547044516505,51836.17578125,7529425,MWG
2023-08-07,52618.609375,53694.4545480948,52129.5888417751,52520.80526835502,6494424,MWG
2023-08-08,52423.0,53107.628731343284,52227.39179104478,52814.21641791045,5735024,MWG
2023-08-09,51444.9609375,52227.39380346958,50858.13628802281,52227.39380346958,8966026,MWG
2023-08-10,50858.1328125,51836.173828125,50564.7205078125,51836.173828125,5349915,MWG
2023-08-11,52129.58984375,52129.58984375,49880.09534767824,51053.74464997655,6318831,MWG
2023-08-14,53009.82421875,53107.62832247463,51444.95855915591,52716.411907576105,9615916,MWG
2023-08-15,52814.21484375,54672.4927734375,52814.21484375,53401.039453125,8931416,MWG
2023-08-16,52618.609375,53107.62990822491,51836.17652184015,52814.21758828996,5174509,MWG
2023-08-17,52716.41015625,53987.86346243043,52227.38965387292,52912.01835720084,8131409,MWG
2023-08-18,49097.66015625,52716.41200043576,49097.66015625,52716.41200043576,14657000,MWG
2023-08-21,47924.01171875,49391.07330197704,47679.501454878824,48902.0527742347,7946812,MWG
2023-08-22,48902.05078125,49097.658984375,46310.24208984375,48021.8138671875,10445800,MWG
2023-08-23,48608.640625,49586.68168385312,48119.620095573446,49586.68168385312,5162501,MWG
2023-08-24,49195.46484375,49684.485369035785,48608.64021340705,48608.64021340705,6633802,MWG
2023-08-25,49391.0703125,50271.30720915842,48902.04981435643,49195.462113242575,7139004,MWG
2023-08-28,50564.72265625,50760.33086768617,49293.269281914894,49782.289810505325,8470601,MWG
2023-08-29,51738.37109375,52031.78340619092,50369.113635692345,50662.52594813327,8303700,MWG
2023-08-30,52618.609375,53303.23812151487,51738.37241519517,51836.17652184015,7507500,MWG
2023-08-31,52618.609375,53205.43401486989,52325.19705506506,52814.21758828996,5706101,MWG
2023-09-05,53107.62890625,54281.278163846684,52227.39196305248,52618.60838225138,8373500,MWG
2023-09-06,53792.25390625,54379.078494318186,52618.604730113635,53107.625220170456,5286700,MWG
2023-09-07,53792.25390625,54574.68669034091,53107.625220170456,53987.86210227273,6138400,MWG
2023-09-08,54281.27734375,55259.31837697072,53303.236310529275,53303.236310529275,8805801,MWG
2023-09-11,53303.23828125,54965.90809919725,52618.60953268349,54574.691671444954,9091400,MWG
2023-09-12,54574.6875,54574.6875,52814.21370967742,53303.23420698925,4794326,MWG
2023-09-13,56237.359375,57997.83323369565,54281.277309782614,54868.10192934783,16101000,MWG
2023-09-14,56041.75390625,57215.40320271597,55846.145690172336,56432.97033840532,10335660,MWG
2023-09-15,54672.4921875,56237.357795728974,54183.47168492844,56237.357795728974,9638900,MWG
2023-09-18,53792.25390625,54379.078494318186,52912.01702414773,54379.078494318186,6610200,MWG
2023-09-19,54281.27734375,54281.27734375,51836.174760698195,53890.06093046171,8835900,MWG
2023-09-20,54574.6875,54965.903897849465,53401.03830645161,53890.05880376344,6834800,MWG
2023-09-21,53009.82421875,54574.6898783441,53009.82421875,54574.6898783441,9500900,MWG
2023-09-22,50955.9375,52227.39083493282,50173.50467850288,51933.978526871404,11911300,MWG
2023-09-25,49880.09375,51836.17585784313,48804.24859068627,50466.91838235294,7693400,MWG
2023-09-26,50369.11328125,50564.72148816748,49391.072246662625,49977.89686741505,8321400,MWG
2023-09-27,50858.1328125,50858.1328125,49097.658984375,49977.8958984375,4904400,MWG
2023-09-28,51836.17578125,53498.845570459904,51347.15525501179,51738.37167600235,8909300,MWG
2023-09-29,51444.9609375,52618.61023645437,51444.9609375,52618.61023645437,4975900,MWG
2023-10-02,50760.328125,51836.173229768785,50662.524024566475,51444.95682803468,4507600,MWG
2023-10-03,47924.01171875,50369.11435746174,47239.38297991071,50369.11435746174,8976200,MWG
2023-10-04,48119.6171875,48902.04998729675,46945.96798780488,46945.96798780488,4826800,MWG
2023-10-05,45967.9296875,48804.24875332447,45967.9296875,48804.24875332447,6348200,MWG
2023-10-06,47239.3828125,47434.99102290373,45283.30070846273,45870.12533967391,5188100,MWG
2023-10-09,46897.0703125,47826.209348931174,46603.657985205944,47288.286748892075,6490300,MWG
2023-10-10,47777.3046875,48364.12931006909,47337.18622057318,47337.18622057318,4821300,MWG
2023-10-11,48217.421875,48217.421875,47532.793166835705,47924.00957150102,3474400,MWG
2023-10-12,47337.18359375,48413.02867542613,47141.57539708161,48217.42047875775,13833700,MWG
2023-10-13,48413.03125,48413.03125,47386.08816287879,47434.99021464647,9845400,MWG
2023-10-16,47532.79296875,49586.679084683645,47532.79296875,48413.02987557871,8502700,MWG
2023-10-17,45283.30078125,47826.20752058585,45283.30078125,47826.20752058585,7887900,MWG
