time,close,high,low,open,volume,ticker
2023-01-03,14583.3330078125,14583.3330078125,13787.87890625,13863.63671875,38029990,HPG
2023-01-04,14696.9697265625,15000.0,14621.2119140625,14734.8486328125,27028318,HPG
2023-01-05,15000.0,15151.515625,14507.576171875,14696.9697265625,28673302,HPG
2023-01-06,14696.9697265625,15227.2724609375,14545.4541015625,14924.2421875,26274730,HPG
2023-01-09,14848.484375,15227.2724609375,14772.7275390625,15000.0,21364198,HPG
2023-01-10,15000.0,15227.2724609375,14545.4541015625,14848.484375,35997850,HPG
2023-01-11,15303.0302734375,15568.181640625,15075.7578125,15151.515625,33936274,HPG
2023-01-12,15189.3935546875,15340.9091796875,15075.7578125,15227.2724609375,30618982,HPG
2023-01-13,15113.63671875,15416.6669921875,15075.7578125,15340.9091796875,27683962,HPG
2023-01-16,15340.9091796875,15643.939453125,15113.63671875,15151.515625,32856673,HPG
2023-01-17,16401.515625,16401.515625,15492.423828125,15492.423828125,55505602,HPG
2023-01-18,16439.39453125,16704.544921875,16325.7578125,16666.666015625,34914262,HPG
2023-01-19,16022.7275390625,16553.03125,15795.4541015625,16363.63671875,60033862,HPG
2023-01-27,16287.87890625,16325.7578125,15795.4541015625,15909.0908203125,35078206,HPG
2023-01-30,16477.2734375,16818.181640625,16174.2421875,16439.39453125,56154514,HPG
2023-01-31,16742.423828125,16742.423828125,16439.39453125,16590.908203125,37489186,HPG
2023-02-01,15984.8486328125,17159.091796875,15909.0908203125,16818.181640625,68515126,HPG
2023-02-02,16136.36328125,16439.39453125,15984.8486328125,16060.6064453125,33901030,HPG
2023-02-03,15984.8486328125,16325.7578125,15909.0908203125,16250.0,27741514,HPG
2023-02-06,16022.7275390625,16022.7275390625,15568.181640625,15984.8486328125,30442234,HPG
2023-02-07,14962.12109375,16060.6064453125,14924.2421875,16022.7275390625,57258430,HPG
2023-02-08,15795.4541015625,15984.8486328125,14962.12109375,14962.12109375,44632498,HPG
