time,close,high,low,open,volume,ticker
2023-01-03,13612.640625,13612.640625,13162.884182248532,13192.86812322987,2353857,ACB
2023-01-04,13582.65625,13702.592010092938,13522.689260609703,13702.592010092938,11017826,ACB
2023-01-05,13702.591796875,13792.542724888859,13582.656038648312,13642.623917761657,3200681,ACB
2023-01-06,13882.4951171875,14002.429989713773,13552.673549748102,13672.608422274376,12780063,ACB
2023-01-09,13852.5107421875,14002.429550810213,13762.558922620172,14002.429550810213,3788612,ACB
2023-01-10,14062.3974609375,14062.3974609375,13762.558952387382,13942.461701254986,19015651,ACB
2023-01-11,14512.1533203125,14662.072123397229,14062.396911058315,14152.347836646697,9198252,ACB
2023-01-12,14692.056640625,14782.008460411247,14512.153891708675,14512.153891708675,12385510,ACB
2023-01-13,14482.169921875,14871.959358831504,14482.169921875,14752.024490020336,9345624,ACB
2023-01-16,14991.89453125,14991.89453125,14482.16935478585,14482.16935478585,30785855,ACB
2023-01-17,15171.796875,15261.749584656734,14961.91018798816,15021.878067321873,6355584,ACB
2023-01-18,15291.732421875,15411.668178881304,15051.86268917469,15171.796664868696,8267323,ACB
2023-01-19,15591.5703125,15591.570312500002,15261.74964679029,15291.732695923052,8549750,ACB
2023-01-27,15801.4560546875,15891.406978014775,15531.601503393455,15801.4560546875,6264788,ACB
2023-01-30,15231.765625,15801.45783926611,15231.765625,15771.474788541545,15815578,ACB
2023-01-31,15621.5546875,15621.5546875,14991.894642258694,15231.764372264406,20152353,ACB
2023-02-01,15111.8291015625,15741.489167010368,15051.863003120894,15651.538238035626,14746308,ACB
2023-02-02,14991.89453125,15351.700014250498,14871.95877647908,15081.84545667206,4522169,ACB
2023-02-03,14692.056640625,15141.813958243898,14632.089651423672,14991.895149256321,22101507,ACB
2023-02-06,14931.9267578125,15081.845561663673,14482.169455602845,14632.089150110156,13529247,ACB
2023-02-07,14752.0244140625,15051.862920530808,14632.089545868874,14991.895041105914,3755496,ACB
2023-02-08,14782.0078125,15021.877540103906,14722.039935270957,14871.958737687431,10528105,ACB
2023-02-09,14692.056640625,15051.86302911382,14692.056640625,14782.008460411247,9586987,ACB
2023-02-10,14512.1533203125,14841.97486523013,14512.1533203125,14752.023939641746,16840191,ACB
2023-02-13,14332.2509765625,14482.169783811272,14272.283988056686,14482.169783811272,6987051,ACB
2023-02-14,14302.2666015625,14452.186294903267,14272.283553550478,14452.186294903267,11769442,ACB
2023-02-15,14722.041015625,14782.008897254691,14242.300634556055,14332.251566344397,30389362,ACB
2023-02-16,14871.958984375,14871.958984375,14632.089252792272,14871.958984375,16596456,ACB
2023-02-17,14871.958984375,14961.909911054487,14722.040179471758,14901.942923486877,3721885,ACB
2023-02-20,15471.634765625,15471.634765625,14782.008594298371,14811.992534498699,14222461,ACB
2023-02-21,15291.732421875,15591.570033078464,15291.732421875,15471.63427607216,9986225,ACB
2023-02-22,14901.943359375,15321.715847251371,14901.943359375,15111.8291579851,4186359,ACB
2023-02-23,15231.765625,15291.733507761553,14542.138535867,14841.976168362336,5871489,ACB
2023-02-24,14752.0244140625,15171.796898068273,14722.040474350053,14991.895041105914,3692076,ACB
2023-02-27,14542.1376953125,14752.024382189997,14452.186767025665,14692.056502894666,5142773,ACB
2023-02-28,14632.0888671875,14841.974654127156,14542.1370522224,14692.055853174777,9351859,ACB
2023-03-01,15081.8466796875,15111.82973015548,14512.154470296606,14632.090234793344,8110977,ACB
2023-03-02,15021.8779296875,15261.749444824594,14991.894880951517,14991.894880951517,9430336,ACB
2023-03-03,14692.056640625,15171.797007516478,14692.056640625,15021.878198528902,3901956,ACB
2023-03-06,14572.1220703125,15051.863337695428,14572.1220703125,14901.943634978146,7946114,ACB
2023-03-07,14692.056640625,14991.895149256321,14572.121771566173,14841.975449612577,7395406,ACB
2023-03-08,14991.89453125,14991.89453125,14542.137232171312,14542.137232171312,4235484,ACB
2023-03-09,15201.7822265625,15261.750107952397,14931.927650964157,14991.895532354054,6024641,ACB
2023-03-10,14931.9267578125,15111.828609908996,14841.974941108114,15021.877683860748,4280234,ACB
2023-03-13,14692.056640625,14961.910318671404,14602.105711494922,14841.975449612577,8579863,ACB
2023-03-14,14422.203125,14811.99256715117,14362.23524446715,14722.040746351893,10289631,ACB
2023-03-15,14871.958984375,14871.958984375,14662.072301248003,14752.024118583635,6437103,ACB
2023-03-16,14632.0888671875,14841.974654127156,14482.169175579002,14692.055853174777,35425755,ACB
2023-03-17,14602.10546875,14782.008214675627,14602.10546875,14722.040335815034,13440276,ACB
2023-03-20,14392.21875,14602.105434868927,14392.21875,14512.15361678675,3735420,ACB
2023-03-21,14512.1533203125,14632.08907530519,14302.266639731426,14632.08907530519,10080054,ACB
2023-03-22,14482.169921875,14602.105681342335,14422.2029327975,14602.105681342335,7636464,ACB
2023-03-23,14692.056640625,14752.024520482499,14362.2350827211,14452.186902507347,12287453,ACB
2023-03-24,14722.041015625,14901.943769857879,14692.057074810155,14752.024956439845,2557958,ACB
2023-03-27,14662.072265625,14841.975009203028,14602.105278203086,14752.024082742086,3738310,ACB
2023-03-28,14662.072265625,14871.958948242056,14662.072265625,14782.008021781114,12602122,ACB
2023-03-29,14632.0888671875,14752.023729818178,14602.1049288658,14692.055853174777,24683496,ACB
2023-03-30,14752.0244140625,14811.992293487394,14722.040474350053,14752.0244140625,3225623,ACB
2023-03-31,14991.89453125,15141.813334057519,14782.007851057022,14811.99178974975,8945938,ACB
2023-04-03,15141.8134765625,15231.764402831119,14991.894672344042,15141.8134765625,16997907,ACB
2023-04-04,15081.8466796875,15201.782444184239,15021.87879743913,15141.81456193587,10932657,ACB
2023-04-05,15171.796875,15171.796875,15021.878067321873,15051.862897644893,5199567,ACB
2023-04-06,14931.9267578125,15261.749195072445,14931.9267578125,15231.764365514844,7347498,ACB
2023-04-07,15021.8779296875,15051.86275973579,14931.927002167244,14961.910050903227,5465111,ACB
2023-04-10,14991.89453125,15081.84545667206,14901.94271517181,15051.862408635461,5531573,ACB
2023-04-11,14961.91015625,15021.878035456508,14811.99223954605,14931.927107302905,2581684,ACB
2023-04-12,14901.943359375,15021.87822867451,14871.95941938608,14991.89517934176,4897521,ACB
2023-04-13,14961.91015625,15021.878035456508,14901.943167699652,14961.91015625,3922336,ACB
2023-04-14,14961.91015625,15051.86286571592,14901.943167699652,15021.878035456508,8026265,ACB
2023-04-17,14991.89453125,14991.89453125,14871.95877647908,14961.909701901139,2695673,ACB
2023-04-18,14841.9755859375,14991.895286958272,14841.9755859375,14991.895286958272,3351095,ACB
2023-04-19,14632.0888671875,14871.958592448855,14632.0888671875,14871.958592448855,7597379,ACB
2023-04-20,14542.1376953125,14722.040442542331,14512.153755664835,14692.056502894666,8785485,ACB
2023-04-21,14542.1376953125,14632.089514255496,14542.1376953125,14572.121634960165,5194547,ACB
2023-04-24,14512.1533203125,14662.072123397229,14452.18633347229,14572.121197808845,3458469,ACB
2023-04-25,14482.169921875,14662.072670419835,14452.186872664333,14572.121741475501,9388665,ACB
2023-04-26,14482.169921875,14512.153861741834,14362.235053063832,14482.169921875,5865254,ACB
2023-04-27,14482.169921875,14662.072670419835,14452.186872664333,14512.153861741834,3317333,ACB
2023-04-28,14512.1533203125,14632.08907530519,14482.169381564327,14512.1533203125,14859100,ACB
2023-05-04,14811.9921875,14841.975236341741,14572.121562172983,14572.121562172983,6546301,ACB
2023-05-05,14782.0078125,14841.974799072912,14692.055996656436,14692.055996656436,3990623,ACB
2023-05-08,14961.91015625,14991.894986509413,14752.024360339543,14782.008299942798,3503944,ACB
2023-05-09,14931.9267578125,15021.877683860748,14871.958880009575,14991.894635615425,5466024,ACB
2023-05-10,14931.9267578125,14961.909806057824,14871.958880009575,14931.9267578125,2980610,ACB
2023-05-11,14931.9267578125,15051.862513418348,14871.958880009575,14991.894635615425,3884771,ACB
2023-05-12,14991.89453125,15021.877579286598,14871.95877647908,14991.89453125,3569036,ACB
2023-05-15,14991.89453125,15171.796382094117,14961.909701901139,15111.828504708657,9707744,ACB
2023-05-16,14991.89453125,15021.877579286598,14931.92665386454,14991.89453125,2223822,ACB
2023-05-17,14931.9267578125,15081.845561663673,14901.942818911039,14991.894635615425,5738260,ACB
2023-05-18,14991.89453125,15051.862408635461,14901.94271517181,14931.92665386454,5097059,ACB
2023-05-19,14961.91015625,15021.878035456508,14841.975288493146,15021.878035456508,6374746,ACB
2023-05-22,15021.8779296875,15021.8779296875,14931.927002167244,14991.894880951517,9918929,ACB
2023-05-23,15201.7822265625,15351.701039381049,14991.895532354054,15111.829513821463,33037055,ACB
2023-05-24,15081.8466796875,15291.733376900587,14961.910915190761,15291.733376900587,16955474,ACB
2023-05-25,15051.86328125,15111.829380799662,14931.92751952594,15111.829380799662,13612439,ACB
